pergunta;resposta
De acordo com o texto, qual o principal objetivo da desobediência civil?;Opor-se a ordens injustas ou a um governo opressor de forma pacífica.
Quem formulou o conceito de desobediência civil?;Henry David Thoreau.
Quais figuras históricas aplicaram com sucesso a desobediência civil?;Mahatma Gandhi e Martin Luther King.
Em que contexto a desobediência civil é vista como um direito?;Quando um governo não satisfaz as exigências da população.
Qual a característica principal da desobediência civil apresentada no texto?;É um método de protesto pacífico.
O texto menciona algum exemplo de aplicação da desobediência civil na Índia?;Sim, no processo de independência liderado por Mahatma Gandhi.
Qual o objetivo da luta de Martin Luther King, utilizando a desobediência civil?;O fim da segregação racial e a conquista dos direitos civis nos Estados Unidos.
O texto descreve a desobediência civil como uma forma de ação violenta?;Não, o texto enfatiza que a desobediência civil é feita de forma pacífica.
De acordo com os dados, qual recurso é usado em vários artigos sobre desobediência civil?;Template:Authority control.
Qual categoria engloba a desobediência civil, de acordo com os dados?;Category:Civil disobedience.
