pergunta;resposta
Qual é a principal função da comutação de pacotes em redes de computadores?;Dividir dados em pacotes menores para transmissão eficiente
Quais são os dois principais tipos de comutação de pacotes?;Datagrama e circuito virtual
Como a comutação de pacotes difere da comutação de circuitos?;Não requer conexão prévia, transmite pacotes independentes
Qual é o papel dos roteadores na comutação de pacotes?;Encaminhar pacotes com base em endereços de destino
O que é fragmentação na comutação de pacotes?;Dividir pacotes grandes em unidades menores para transmissão
Qual é a principal vantagem da comutação de pacotes sobre a comutação de circuitos?;Maior eficiência no uso da largura de banda
Qual protocolo utiliza a comutação de pacotes?;TCP/IP
O que é um circuito virtual na comutação de pacotes?;Caminho pré-estabelecido entre origem e destino
O que é um datagrama na comutação de pacotes?;Pacote com endereço completo que não requer conexão
Qual é o principal desafio da comutação de pacotes?;Possível atraso devido a roteamento e congestionamento
