pergunta;resposta
Quando foi a primeira batalha da guerra francesa e indiana?;1754
Em quantas colunas dos Estados Unidos were as presas das colons trainedes da América atlanticana?;6.000
Quem lutou na guerra francesa e indiana para garantir o control das fronteiras entre a Nova França e as colunas?;Osols do Ohio
Quando o esforço inicial de Edward Braddock showou seu sucesso?;desastre, ele foi derrotado na batalha de Monongahela
Em qual colunas dos Estados Unidos were as presas dos Frangos e das Indianas trainedes da América ativa?;Nas fronteiras entre a Nova França e as colunas do Ohio
Qual foi o objetivo principal da batalha de Jumonville Glen, em maio de 1754?;travessar os rios Allegheny e Monongahela, chamados de Forks do Ohio
Em quais colunas dos Estados Unidos were as presas das Indianas trainedes da América atlanticana?;6.000
Quem lutou na guerra francesa e indiana para garantir o control das fronteiras entre o colony britânico e a Nova França?;Osols do Ohio
Qual foi o sucesso do esforço inicial de Braddock, em quais colunas dos Estados Unidos were as presas?;"desastre; ele foi derrotado na batalha de Monongahela"
Em quais colunas dos Estados Unidos were the French and Indian soldiers trained during the war?;Nas fronteiras entre a Nova França e as colunas do Ohio
