Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual foi um dos principais motivos para a perseguição dos Huguenotes?,A prática do culto protestante em território francês.,1.83333,5.1549,0.90909,0.200,2.11111,4.37319,1.0,1.200
Em qual país muitos Huguenotes fugiram durante a perseguição?,Alemanha,2.0,4.61384,1.0,0.500,0.0,1.0,1.0,0.000
Quem foi o rei que ordenou a perseguição dos Huguenotes?,Luís XIV.,1.81818,4.82961,1.0,0.400,1.0,1.85566,1.0,0.000
Qual foi um impacto cultural dos Huguenotes?,Contribuíram para a Reforma Protestante na Europa.,1.75,4.10211,1.0,0.250,2.0,4.10211,1.0,0.000
Qual foi um grupo fundamental para os Huguenotes durante a perseguição?,Os pastores reformados.,2.33333,5.02467,1.0,0.600,1.5,2.50045,1.0,0.000
Que país acolheu muitos Huguenotes após a perseguição?,Suíça,1.77778,4.37319,1.0,0.500,0.0,1.0,1.0,0.000
Qual foi o evento conhecido como Dia da Fuga?,O período em que os Huguenotes foram forçados a fugir para evitar execução.,2.0,4.61384,1.0,0.333,2.14286,5.36491,1.0,0.571
Quem foi considerado um dos líderes espirituais dos Huguenotes?,Calvin,2.3,4.75438,0.88889,0.000,0.0,1.0,1.0,0.000
Qual foi outro nome para os Huguenotes em certain times?,Liga dos Estados,1.72727,4.82961,1.0,0.200,1.0,2.50045,1.0,0.000
Onde se concentrou muita da comunidade huguenóta após a perseguição?,Estrasburgo,2.18182,4.82961,1.0,0.400,0.0,1.0,1.0,0.000
