Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Vou gerar 10 pares pergunta,resposta no formato CSV com base no contexto fornecido. Primeiro,1.4,3.43523,1.0,0.500,1.15,4.96484,0.9,0.429
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
Qual o nome da universidade mais antiga dos Estados Unidos?,Harvard University,2.18182,4.82961,1.0,0.500,0.5,1.85566,1.0,0.000
Em que ano foi fundada a Harvard University?,1636,1.88889,4.37319,1.0,0.200,0.0,1.0,1.0,0.000
Para quem foi batizada a universidade?,John Harvard,1.57143,3.79304,1.0,0.333,0.5,1.85566,1.0,0.000
Quantos presidentes dos EUA são ex-alunos da universidade?,oito presidentes dos EUA,2.44444,4.37319,1.0,0.400,1.0,3.01273,1.0,0.000
Quantos ganhadores do Prêmio Nobel são associados à universidade?,150 ganhadores do Nobel,2.8,4.61384,1.0,0.333,1.5,3.01273,1.0,0.000
Quantos laureados com o Prêmio Turing estão associados à universidade?,14 laureados do Prêmio Turing,2.36364,4.82961,1.0,0.143,1.4,3.43523,1.0,0.000
Qual é o valor da dotação da universidade?,$50,2.33333,4.51932,0.875,0.500,0.5,1.85566,1.0,0.000
Quantas bibliotecas compõem o sistema de bibliotecas da universidade?,79 bibliotecas,1.9,4.75438,0.88889,0.400,0.5,1.85566,1.0,0.000
Quantos itens estão contidos nas bibliotecas da universidade?,20,2.44444,4.37319,1.0,0.200,0.0,1.0,1.0,0.000
Quantos campus principais a universidade possui?,três campus principais,2.0,3.79304,1.0,0.250,0.66667,2.50045,1.0,0.000
pergunta,resposta,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
Quem foi a primeira pessoa em homenagem à qual a universidade foi batizada?,John Harvard,1.92857,5.62279,0.84615,0.429,0.5,1.85566,1.0,0.000
Em que ano a Harvard University foi fundada?,1636,2.11111,4.37319,1.0,0.200,0.0,1.0,1.0,0.000
Quantos presidentes dos Estados Unidos são ex-alunos da universidade?,oito presidentes,2.5,4.61384,1.0,0.333,0.5,1.85566,1.0,0.000
Quantos ganhadores do Prêmio Nobel estão associados à universidade?,150 ganhadores do Nobel,2.8,4.61384,1.0,0.167,1.5,3.01273,1.0,0.000
Quantos laureados com o Prêmio Turing estão associados à universidade?,14 laureados do Prêmio Turing,2.36364,4.82961,1.0,0.143,1.4,3.43523,1.0,0.000
Qual é o valor da dotação da universidade?,$50,2.33333,4.51932,0.875,0.500,0.5,1.85566,1.0,0.000
Quantas bibliotecas compõem o sistema de bibliotecas da universidade?,79 bibliotecas,1.9,4.75438,0.88889,0.400,0.5,1.85566,1.0,0.000
Quantos itens estão contidos nas bibliotecas da universidade?,20,2.44444,4.37319,1.0,0.200,0.0,1.0,1.0,0.000
Quantos campus principais a universidade possui?,três campus principais,2.0,3.79304,1.0,0.250,0.66667,2.50045,1.0,0.000
Qual o nome da maior biblioteca acadêmica do mundo?,Harvard Library,2.3,4.61384,1.0,0.800,0.5,1.85566,1.0,0.000
