Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual é o principal objetivo da IPCC?, Avaliar a base científica das mudanças climáticas.,1.75,4.10211,1.0,0.750,2.0,4.10211,1.0,0.200
Quais países participam do IPCC?, Membros de todo o mundo,1.66667,3.43523,1.0,0.000,0.8,3.43523,1.0,0.500
O que destaca-se no Relatório de Assessamento da Quarta Edição?, Estabelecimento claro entre as atividades humanas e as mudanças climáticas.,2.18182,4.82961,1.0,0.143,2.27273,4.96484,0.9,0.167
Quais são os principais impactos das mudanças climáticas segundo o IPCC?, Aumento de temperaturas,2.58333,5.02467,1.0,0.167,0.66667,2.50045,1.0,0.000
Qual é a estratégia principal de adaptação sugerida pelo IPCC?, Desenvolver infraestrutura e comunidades resistentes.,2.09091,4.82961,1.0,0.333,1.5,3.43523,1.0,0.000
Que ação de mitigação é recomendada pelo IPCC?, Redução das emissões de gases de efeito estufa por meio do uso de energia renovável.,2.11111,4.37319,1.0,0.200,2.25,5.89204,0.86667,0.500
Como o IPCC projeta as condições climáticas do futuro?, Usando modelos completos e análise de dados.,2.3,4.61384,1.0,0.200,1.75,4.10211,1.0,0.200
Quais organizações costumam colaborar com o IPCC nas relatórios?, Programa Ambiental das Nações Unidas (UNEP) e Organização Mundial da Saúde (WHO).,2.1,4.61384,1.0,0.200,3.35294,5.20226,1.0,0.000
Qual é a meta principal dos avaliações do IPCC para os governantes?, Providir informações científicas para a tomada de decisões de políticos.,2.38462,5.20226,1.0,0.333,1.81818,4.96484,0.9,0.167
"Quais regiões são especialmente afetadas por enchentes costeiras, conforme indicado pelo IPCC?", Nações insulares pequenas e áreas costeiras.,2.28571,5.20226,1.0,0.250,1.57143,3.79304,1.0,0.000
