Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
pergunta,resposta  ,0.0,1.0,1.0,1.000,0.0,1.0,1.0,1.000
Packet switching is based on what?,Data packets transmitted over digital networks  ,2.42857,3.79304,1.0,0.000,2.5,3.79304,1.0,0.167
What are packets made of?,Header and payload  ,2.0,3.43523,1.0,0.000,1.0,2.50045,1.0,0.000
What does the header contain?,Destination information  ,2.0,3.43523,1.0,0.000,0.5,1.85566,1.0,0.000
Who developed the concept in the 1960s?,Paul Baran  ,2.875,4.25402,0.85714,0.000,0.5,1.85566,1.0,0.000
What was the goal of Baran's work?,Fault-tolerant,2.6,4.37319,1.0,0.125,0.0,1.0,1.0,0.000
What did Baran's ideas contradict?,Pre-allocated network bandwidth  ,1.5,3.79304,1.0,0.167,1.0,2.50045,1.0,0.000
When did Davies coin the term packet switching?,1965  ,3.33333,4.37319,1.0,0.000,0.0,1.0,1.0,0.000
What networks were influenced by Davies' work?,ARPANET and others  ,2.11111,4.10211,1.0,0.000,1.0,2.50045,1.0,0.000
What is the primary basis for data communications?,Packet switching  ,2.77778,4.37319,1.0,0.125,0.5,1.85566,1.0,0.000
What is the purpose of the payload?,Data content,2.875,4.25402,0.85714,0.000,0.5,1.85566,1.0,0.000
