pergunta;resposta
Now, I'll structure each line as "pergunta;resposta" in CSV format, making sure there are exactly 10 lines. I'll double-check that each question is unique and covers different aspects of economic inequality.
pergunta;resposta
Qual porcentagem da riqueza global é possuída pelas pessoas mais ricas?;40%
O que a globalização fez para a desigualdade econômica entre nações?;reduziu
Quem é um pesquisador destacado em desigualdade econômica?;Branko Milanović
Qual porcentagem de economias avançadas registrou aumento na desigualdade de renda?;mais de 70%
O que o coeficiente de Gini mede?;desigualdade de renda
Qual política pública reduz a desigualdade de renda?;impostos e transferências
 Qual livro trata da desigualdade econômica?;Capital no Século XXI
 Como a distribuição global de renda mudou desde os anos 1970?;para convergência para países de média renda
 Qual é um indicador amplamente usado de desigualdade econômica?;coeficiente de Gini
Qual consequência importante da desigualdade econômica?;instabilidade política e social
