Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual é o nome comum dado aos ctenophora?,carambolas-do-mar ou águas-vivas-de-pente,2.11111,4.37319,1.0,0.800,0.66667,2.50045,1.0,0.000
O que caracteriza os ctenophora como diferentes das medusas?,relação filogenética distinta,2.3,4.61384,1.0,0.000,0.66667,2.50045,1.0,0.333
Qual é a função dos pentes em ctenophora?,propulsão e movimentação no ambiente aquático,2.33333,4.37319,1.0,0.250,1.33333,3.79304,1.0,0.500
O que significa o nome científico Ctenophora?,comb (κτείς kteis) portador (φέρω pherō),2.25,4.25402,0.85714,0.500,4.5,3.79304,1.0,0.167
Quais são os principais habitats de ctenophora?,água doce,1.625,4.10211,1.0,0.250,0.5,1.85566,1.0,1.500
Qual é a menor espécie adulta conhecida de ctenophora?,cerca de 1 mm,2.3,4.61384,1.0,0.500,1.0,3.01273,1.0,0.000
Qual o maior tamanho de uma ctenophora adulta?,até 1,1.66667,4.37319,1.0,0.500,0.5,1.85566,1.0,0.000
O que os ctenophora compartilham com algumas espécies de peixes e invertebrados marinhos?,bioluminescência,2.5,5.36491,1.0,0.167,0.0,1.0,1.0,0.000
De onde data a presença do grupo Ctenophora no registro fóssil?,Cambriano,2.58333,5.02467,1.0,0.833,0.0,1.0,1.0,0.000
Qual é o modelo de página wiki usado para descrever ctenophora?,Template:Taxonbar,2.16667,5.02467,1.0,0.571,1.0,1.85566,1.0,0.000
