Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Qual o grupo de animais aos quais a ctenophora pertence?,filo dos animais gelatinosos,1.90909,4.82961,1.0,0.250,1.5,3.01273,1.0,0.000
Qual a característica principal que define a ctenophora?,pentes ciliares para natação,1.77778,4.51932,0.875,0.500,0.75,3.01273,1.0,0.333
Como a ctenophora se move na água?,usando cílios em fileiras,1.875,4.10211,1.0,0.333,1.0,3.01273,1.0,0.000
Qual o tamanho máximo registrado de uma ctenophora?,1,1.77778,4.37319,1.0,0.500,0.0,1.0,1.0,0.000
Qual a principal característica da estrutura corporal da ctenophora?,camadas de cílios em fileiras,2.7,4.75438,0.88889,0.600,0.8,3.43523,1.0,0.000
Qual o nome comum dado às ctenophoras?,geleias de pente,2.0,4.10211,1.0,1.000,0.66667,2.50045,1.0,0.500
Qual a principal fonte de alimento das ctenophoras?,predadores de outros animais,1.77778,4.37319,1.0,0.750,0.75,3.01273,1.0,0.000
Quais são os principais componentes do corpo da ctenophora?,gelatina e cílios,2.3,4.61384,1.0,0.400,0.66667,2.50045,1.0,0.500
Qual a importância da estrutura em camadas do corpo da ctenophora?,para a digestão e respiração,2.33333,5.1549,0.90909,0.600,1.2,3.43523,1.0,1.000
Quais são as características que distinguem as ctenophoras dos outros grupos de animais marinhos?,pentes ciliares e gelatinosa,2.33333,5.63172,0.92857,0.143,1.0,3.01273,1.0,0.000
