pergunta;resposta
Qual é o nome completo do organismo conhecido como IPCC?;Painel Intergovernamental sobre Mudanças Climáticas
Em que ano foi criado o IPCC?;1988
Qual é o principal objetivo do IPCC?;Sintetizar e divulgar o conhecimento mais avançado sobre as mudanças climáticas, especialmente o aquecimento global, apontando suas causas, efeitos e riscos
Quais organizações o IPCC está relacionado?;Nações Unidas (ONU), Programa das Nações Unidas para o Meio Ambiente (PNUMA) e Organização Meteorológica Mundial (OMM)
Onde está sediado o IPCC?;Geneva, Suíça
Qual prêmio o IPCC recebeu em 2007?;Prêmio Nobel da Paz
Quais são alguns dos tipos de categorias em que o IPCC é classificado?;YagoLegalActor, WikicatUnitedNations, WikicatInternationalEnvironmentalOrganizations, WikicatMeteorologicalInstitutionsAndStations, WikicatClimateChangeOrganizations
Quem são alguns dos indivíduos associados ao IPCC?;Filippo Giorgi, Kevin E. Trenberth, Rajendra K. Pachauri, Bert Bolin, Hoesung Lee
Qual é o papel do IPCC em políticas climáticas globais?;É a principal base para o estabelecimento de políticas climáticas mundiais e nacionais
Qual é a função principal do IPCC segundo o texto?;Reunir e resumir o conhecimento produzido por cientistas independentes sobre mudanças climáticas
