pergunta;resposta
Em que ano o IPCC foi criado?;1988
Quais organizações estabeleceram o IPCC?;Programa das Nações Unidas para o Meio Ambiente (PNUMA) e a Organização Meteorológica Mundial (OMM)
Qual é o objetivo principal do IPCC?;Sintetizar e divulgar o conhecimento sobre as mudanças climáticas, especificamente o aquecimento global.
Onde está localizada a sede do IPCC?;Genebra, Suíça
Qual prêmio Nobel foi concedido ao IPCC e em que ano?;Prêmio Nobel da Paz em 2007
Quantos grandes relatórios o IPCC produziu desde sua fundação até 2014?;Cinco grandes relatórios
O IPCC realiza pesquisa original?;Não, reúne e resume conhecimento de cientistas independentes.
Qual é o acrônimo do Painel Intergovernamental sobre Mudanças Climáticas em inglês?;IPCC
Quais são as principais categorias Wikicat associadas ao IPCC?;United Nations, International Environmental Organizations, Meteorological Institutions and Stations, Climate Change Organizations, Organisations Based in Geneva.
Qual título de liderança é usado no IPCC?;Chair
