Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
O termo Huguenot pode estar relacionado a qual político da Suíça?,Besançon Hugues  ,2.08333,5.02467,1.0,0.429,0.5,1.85566,1.0,0.000
Qual era a proporção da população huguenote em 1572?,cerca de 10% da população  ,2.3,4.61384,1.0,0.600,1.16667,3.79304,1.0,0.500
Quando ocorreram as Guerras da Religião francesa?,de 1562 a 1598  ,1.75,4.10211,1.0,0.000,0.75,3.01273,1.0,0.000
Qual tratado encerrou as Guerras da Religião?,o Edito de Nantes  ,1.875,4.10211,1.0,0.000,0.75,3.01273,1.0,0.333
O que o Edito de Nantes concedeu aos huguenotes?,autonomia religiosa,2.0,4.75438,0.88889,1.000,0.5,1.85566,1.0,0.000
Onde estavam concentrados os huguenotes na França?,partes sul e central  ,1.75,4.10211,1.0,0.000,1.0,3.01273,1.0,0.667
Qual foi o resultado das rebeliões huguenotes na década de 1620?,perda de privilégios políticos e militares  ,3.25,5.02467,1.0,0.333,1.0,3.79304,1.0,0.250
Qual edito revogou os direitos protestantes na França?,o Edito de Fontainebleau  ,2.11111,4.37319,1.0,0.000,0.75,3.01273,1.0,0.333
Qual medida foi usada por Luís XIV para converter protestantes?,dracônadas  ,1.90909,4.82961,1.0,0.143,0.0,1.0,1.0,0.000
Quando a perseguição oficial aos protestantes terminou?,com o Edito de Versalhes (1787),1.875,4.10211,1.0,0.750,1.25,3.79304,1.0,0.250
