Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Quais são os três tipos principais de rochas?,Igneous,1.77778,4.37319,1.0,0.250,0.0,1.0,1.0,0.000
Qual processo geológico envolve a erosão e a desgaste das superfícies rochosas?,Erosão e desgaste,2.30769,5.32781,0.91667,0.143,0.66667,2.50045,1.0,0.000
Qual camada da Terra é composta principalmente por rochas sólidas e é a mais externa?,Corte,2.375,5.76639,0.93333,0.300,0.0,1.0,1.0,0.000
Qual é a principal composição do núcleo terrestre?,Ferro e níquel,2.0,4.37319,1.0,0.800,0.66667,2.50045,1.0,0.000
O que acontece com as rochas quando estão expostas a condições de pressão e temperatura elevadas?,Transformam-se em rochas metamórficas,2.58824,5.78178,1.0,0.250,0.75,3.01273,1.0,0.000
Qual é o principal fator que influencia a formação de fósseis?,Condiciona de sedimento e ambiente aquático,1.75,5.02467,1.0,0.500,1.16667,3.79304,1.0,0.500
Quais são os dois tipos principais de desgaste das rochas?,Desgaste químico e físico,1.90909,4.82961,1.0,0.200,1.0,3.01273,1.0,0.667
Qual processo geológico forma novas terras e altera a superfície terrestre?,Eruptões vulcânicas,2.5,5.02467,1.0,0.500,0.5,1.85566,1.0,0.000
O que é a camada sedimentar?,Formada por depósito de partículas em ambientes aquáticos,1.57143,3.79304,1.0,0.333,1.375,4.37319,1.0,0.200
Qual é a principal causa do movimento das placas tectônicas?,Convecção no manto terrestre,2.63636,4.82961,1.0,0.500,1.5,3.01273,1.0,0.333
