pergunta;resposta
Qual a finalidade do IPCC?;Avançar o conhecimento científico sobre mudanças climáticas.
Quais organizações estabeleceram o IPCC em 1988?;A Organização Meteorológica Mundial (WMO) e o Programa das Nações Unidas para o Meio Ambiente (PNUMA).
Onde está localizada a sede do IPCC?;Genebra, Suíça.
Quantos estados são membros do IPCC?;195
Qual o papel do IPCC em relação à pesquisa climática?;Examinar a literatura científica relevante.
O que o IPCC não realiza?;Pesquisa original própria.
Qual o objetivo do IPCC em relação aos relatórios?;Informar governos sobre o estado do conhecimento.
Qual o papel do IPCC nos acordos climáticos da ONU?;Desempenha um papel fundamental nas negociações climáticas.
Qual o principal resultado do IPCC que influenciou o Acordo de Paris?;O Relatório de Avaliação Quinta.
Quem compartilhou o Prêmio Nobel da Paz com o IPCC em 2007?;Al Gore.
