pergunta;resposta
Qual é o menor número primo?;2
É primo o número 4?;Não, não é primo.
O que é considerado um número primo?;Um número natural maior que 1 que não pode ser representado como produto de outros dois números naturais além de 1 e ele mesmo.
Em qual posição está o número 7 na sequência dos números primos?;4ª posição
Qual é a fórmula usada para verificar se um número é primo?;Para um número n, é primo se não há divisores diferentes de 1 e ele mesmo na sequência 2 até √n.
Quanto é a soma de 3 e 5?;8
É possível que um número primo seja par?;Sim, o menor exemplo é 2.
Qual é o resultado de 11 multiplicado por 13?;143
Em qual ano ocorreu o descobrimiento do número 17?;1999
Qual é a razão das diferenças entre os números primos?;As diferenças não são constantes e podem variar.
