pergunta;resposta
Qual a origem ancestral dos normandos?;Viquingues da Escandinávia.
Além da colonização da Normandia, qual outro evento importante os normandos realizaram?;A Conquista Normanda da Inglaterra.
Quais línguas eram faladas pelos normandos?;Latim, Old Norman e Old Norse.
Qual era a principal religião praticada pelos normandos?;Cristianismo.
Em qual região da Europa os normandos estabeleceram estados?;Sicília e sul da península Itálica.
Além de batalhas, em qual tipo de construção os normandos se destacaram?;Mottes e castelos.
Qual é a relação entre os normandos e o povo Norse?;Os normandos são descendentes dos viquingues/Norse.
Qual o significado da palavra 'Norman' em sua origem?;Homens do Norte.
Qual a relação entre os normandos e a palavra 'vikingr'?;A palavra 'vikingr' se refere às expedições no mar dos normandos.
Em qual categoria os normandos são classificados como grupo?;Grupo étnico.
