pergunta;resposta
Qual é a principal cidade da região do Sul da Califórnia?;Los Angeles
Qual o nome do oceano que banha o Sul da Califórnia?;Pacífico
Quem é o clube de futebol mais conhecido do Sul da Califórnia?;LA Galaxy
Qual a data de fundação da cidade de San Diego?;1769
Qual é o principal aeroporto do Sul da Califórnia?;Aeroporto Internacional de Los Angeles
Qual a principal universidade da região do Sul da Califórnia?;Universidade da Califórnia, Los Angeles (UCLA)
Qual é o nome do parque temático mais famoso do Sul da Califórnia?;Disneyland
Qual a capital do estado da Califórnia?;São Francisco
Qual o nome do desfile de Carnaval realizado no Sul da Califórnia?;Carnaval de San Diego
Qual é o principal tipo de clima do Sul da Califórnia?;Mediterrâneo
