pergunta;resposta
De quais países os normandos se originaram?;Dinamarca, Islândia e Noruega.
Em que país a Normandia está localizada?;França.
Quando os normandos estavam na Normandia?;séculos 10 e 11.
De qual Adjustable eram os normandos?;Norman.
Em que se basearam suas culturas os normandos?;Vikingas, Normanas e galhenses.
Quem foi o duque na batalha de Hastings?;Ílherme Gormano.
Qual era o Conquistador em 1053?;Harold Godwinson, Ílherme of Hastings.
Em que século os normandos ganharam sua identidade separada pela primeira vez?;IX.
Quem governou o ducado da Normandia?;Ricardo I de LIón.
Que religião eram os normandos?;Católica.
