pergunta;resposta
Qual é o termo geralmente usado em inglês para designar escolas não mantidas pelo governo ou financiadas com fundos públicos?;escolas particulares
Que tipo de bolsa de estudos pode ser oferecida por uma escola privada além das acadêmicas e esportivas?;de arte
Em contraste com as escolas públicas, como se financiam grande parte das escolas particulares?;por meio de anuidades
Qual é um direito exclusivo das escolas particulares em comparação com as escolas estatais?;de selecionar seus alunos
Qual é o custo anual aproximado de algumas escolas preparatórias da Nova Inglaterra?;$45.000
Como são chamadas as escolas particulares que não cobram propinas ou taxas adicionais?;sem taxa
Quais países, além do Canadá e Reino Unido, geralmente não utilizam o termo 'escola privada' para referir-se a universidades?;Austrália
Em que região é comum usar o termo 'escolas particulares' para se referir a instituições de ensino superior?;América do Norte
Qual é outro nome usado para o último ano da educação secundária nos Estados Unidos?;sexto menor
Como é conhecido o ano subsequente ao último ano de escolaridade obrigatória no sistema educacional americano?;sexto superior')
