Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual é o acrônimo em inglês do Painel Intergovernamental sobre Mudanças Climáticas?,IPCC,2.38462,5.20226,1.0,0.250,0.0,1.0,1.0,0.000
Quem criou o Painel Intergovernamental sobre Mudanças Climáticas?,Programa das Nações Unidas para o Meio Ambiente (PNUMA) e a Organização Meteorológica Mundial (OMM),2.0,4.37319,1.0,0.167,2.10526,5.65316,1.0,0.417
Qual é o objetivo principal do Painel Intergovernamental sobre Mudanças Climáticas?,sintetizar e divulgar o conhecimento mais avançado sobre as mudanças climáticas,2.16667,5.02467,1.0,0.500,1.45455,5.02467,1.0,0.429
Onde está localizada a sede do Painel Intergovernamental sobre Mudanças Climáticas?,Genebra,2.25,5.02467,1.0,0.222,0.0,1.0,1.0,0.000
Quantos grandes relatórios o Painel Intergovernamental sobre Mudanças Climáticas produziu até 2014?,cinco,2.38462,5.20226,1.0,0.111,0.0,1.0,1.0,1.000
Em que ano o Painel Intergovernamental sobre Mudanças Climáticas foi criado?,1988,2.41667,5.02467,1.0,0.500,0.0,1.0,1.0,0.000
Qual prêmio o Painel Intergovernamental sobre Mudanças Climáticas ganhou em 2007?,Prêmio Nobel da Paz,1.91667,5.02467,1.0,0.250,1.5,3.01273,1.0,0.000
O que o Painel Intergovernamental sobre Mudanças Climáticas não produz?,pesquisa original,2.45455,4.96484,0.9,0.429,0.5,1.85566,1.0,1.500
Quem é o atual líder do Painel Intergovernamental sobre Mudanças Climáticas?,Hoesung Lee,2.5,5.02467,1.0,0.375,0.5,1.85566,1.0,0.000
Qual é a principal base para o estabelecimento de políticas climáticas mundiais e nacionais?,o trabalho do Painel Intergovernamental sobre Mudanças Climáticas,1.8,5.51466,1.0,0.375,1.375,4.37319,1.0,0.333
