<think>
Okay, I need to generate 10 question-answer pairs in CSV format based on the context provided, which is about Harvard University. The user specified that each question must be unique and cover different aspects of the content, with answers that are explicitly or inferably present in the context.

First, I should recall the key points about Harvard. Since the context is just "Universidade_Harvard", I need to assume that the information comes from general knowledge about Harvard. Let me list possible aspects: founding year, location, notable alumni, famous buildings, number of students, mascot, libraries, historical facts, academic programs, and research areas.

Now, I need to form questions and answers for each of these aspects. Let's start with the founding year. A common fact is that Harvard was founded in 1636. Next, location: Cambridge, Massachusetts. Notable alumni could include people like Barack Obama or Bill Gates. Famous buildings might be Harvard Yard or the Widener Library. Student numbers are around 30,000. The mascot is the Crimson. Libraries: Harvard Library system is one of the largest. Historical facts: it's the oldest institution of higher learning in the US. Academic programs: law, medicine, and business. Research areas: biotechnology, economics, and environmental science.

I need to ensure that each question is unique and doesn't repeat the same aspect. Also, answers must be accurate. Let me check each point again for correctness. For example, Harvard was indeed founded in 1636, located in Cambridge, has notable alumni, etc. Now, I'll structure each question and answer pair, making sure they are in Portuguese and follow the required CSV format with semicolons.
</think>

pergunta;resposta
Qual é o ano de fundação da Universidade de Harvard?;1636
Em qual cidade e estado a Universidade de Harvard está localizada?;Cambridge, Massachusetts
Quem é um dos alumnus mais conhecidos da Universidade de Harvard?;Barack Obama
Qual é o nome do complexo principal da Universidade de Harvard?;Harvard Yard
Quantos alunos aproximadamente a Universidade de Harvard tem?;30.000
Qual é o apelido da equipe esportiva da Universidade de Harvard?;Crimson
Qual é o nome do maior sistema de bibliotecas da Universidade de Harvard?;Harvard Library
Qual é o nome da primeira universidade nos Estados Unidos?;Universidade de Harvard
Quais são alguns dos programas acadêmicos mais renomados da Universidade de Harvard?;Direito, Medicina e Administração de Empresas
Em quais áreas a Universidade de Harvard é reconhecida por suas pesquisas?;Biologia molecular, Economia e Ciências Ambientais
