pergunta;resposta
Qual foi o nome da guerra que ocorreu de 1754 a 1763 na América do Norte?;Guerra Francesa-Canadense (ou Guerra dos Sete Anos na América).
Quais tribos nativas americanas aliaram-se aos franceses durante a guerra?;Algonquins, Hurons, Iroqueses, Shawnees, Ottawa e Confederação Wabanaki.
Qual foi o resultado da Guerra Francesa-Canadense para os ingleses?;Os ingleses conquistaram o Canadá, consolidando seu domínio no continente norte-americano.
Quem foi o comandante britânico durante a Guerra Francesa-Canadense?;Eduardo Braddock, que foi derrotado na Batalha de la Monongahela.
Qual foi a importância do controle de linhas de comunicação durante a guerra?;O controle das rotas de comunicação e suprimentos era crucial para a vitória, pois permitia a movimentação de tropas e recursos.
Qual batalha foi um ponto de virada na guerra, levando à conquista do Canadá pelos ingleses?;A Batalha de Quebec (1759), onde os ingleses capturaram a cidade, marcando o fim do domínio francês na região.
Quem foi o comandante francês derrotado na Batalha de la Monongahela?;Jean-Baptiste Cope, que foi derrotado pelas forças inglesas lideradas por Edward Braddock.
Qual foi o objetivo principal dos ingleses na Guerra Francesa-Canadense?;Defender e expandir seus interesses coloniais no Canadá, confrontando os franceses e suas aliadas nativas.
Qual evento marcou o fim da presença francesa no Canadá?;A captura de Quebec em 1759, que foi seguida pela queda de Montreal em 1760, consolidando o controle inglês.
Quantas vítimas foram registradas durante a Guerra Francesa-Canadense?;Cerca de 1.500 mortos, incluindo soldados e civis, devido a combates e doenças.
