pergunta;resposta
Juntamente com o esporte e a arte, o que é um tipo de bolsa de talentos?;acadêmicas
Em vez de tributação, pelo que as escolas particulares são amplamente financiadas?;mas escolas
Que direito têm as escolas particulares que as escolas públicas não têm?;o de selecionar seus alunos
Juntamente com o Canadá e o Reino Unido, que país geralmente não se refere às universidades como escolas particulares?;Austrália
Que região usa o termo 'escolas particulares' para se referir a universidades?;América do Norte
Que é o nome da escola particular que é conhecida por sua alta taxa de admissão?;Harvard
Qual é o nome da escola particular que é conhecida por sua alta taxa de admissão?;Yale
Qual é o nome da escola particular que é conhecida por sua alta taxa de admissão?;Princeton
Qual é o nome da escola particular que é conhecida por sua alta taxa de admissão?;Columbia
Qual é o nome da escola particular que é conhecida por sua alta taxa de admissão?;Dartmouth
