<think>
Ok, eu preciso ajudar a gerar 10 pares de perguntas e respostas baseadas no contexto fornecido sobre o motor a vapor. Primeiro, vou analisar o conteúdo para identificar os principais pontos e fatos relevantes.

O context o explica que o motor a vapor é uma máquina térmica que utiliza o vapor de água sob alta pressão e temperatura. Ele funciona com base no princípio de expansão do vapor, convertendo energia interna em mecânica. Os fatos fornecidos incluem vários navios e ferrovias que usam motores a vapor, além de informações sobre a história e imagens associadas.

Minha tarefa é criar perguntas variadas que abordem diferentes aspectos do conteúdo. Cada pergunta deve ter uma única resposta correta, que possa ser extraída ou inferida do contexto.

Começo pensando em perguntas sobre os componentes principais do motor a vapor, como a expansão do vapor e os usos modernos desse tipo de energia. Em seguida, considero perguntas específicas sobre histórias de invenção e aplicações práticas, como na geração de eletricidade em reatores nucleares.

Também me concentro em perguntas que relacionem fatos concretos apresentados, como os nomes de navios ou ferrovias que usam motores a vapor. Além disso, incluo perguntas sobre categorias e imagens associadas ao tema.

Preciso garantir que cada pergunta seja claramente relacionada ao contexto e que as respostas sejam corretas e precisas. Sempre verificar que não repita perguntas semelhantes e que a variabilidade seja mantida.

Finalmente, organizo essas pares em CSV, conforme solicitado.
</think>

```csv
pergunta;resposta
Qual é o principal componente do motor a vapor que causa a expansão do vapor?;"O principais componente é o êmbolo na turbina a vapor que provoca a expansão do vapor."
Qual é o exemplo de aplicação moderna do motor a vapor além dos reatores nucleares?;"Os reatores nucleares usam o motor a vapor para gerar eletricidade."
qual foi a invenção atribuída a Thomas Newcomen?;"A invenção do primeiro motor a vapor foi creditada a Thomas Newcomen."
Qual é o tipo de energia utilizada em um ferryboat como o Puget?;"O ferryboat como o Puget utiliza energia a vapor."
Qual é o propósito principal do funcionamento da turbina a vapor?;"O objetivo principal é converter a energia interna do vapor em energia mecânica."
qual navio listado possui a propulsão de energia a vapor?;"O USS Montclair tem propulsão a vapor."
Quem inventou a turbina a vapor?;"James Watt foi responsável pela invenção da turbina a vapor."
Qual é o exemplo de uma imagem associada ao motor a vapor?;"A imagem "Steam powered road-locomotive from England.png" representa um locomotiva a vapor."
qual é o assunto principal do tópico Steam engine?;"O assunto principal é o motor a vapor."
qual é o modelo de página wiki utilizado para categorizar o motor a vapor?;"O modelo Template:Redirect-multi é usado para redirecionar páginas relacionadas ao motor a vapor."
Qual é o exemplo de uma fonte auxiliar de energia em uma fábrica que usa motor a vapor?;"A Goldfield Mill, Tring utiliza um motor a vapor como fonte principal de energia."
