pergunta;resposta
Quando foi estabelecida a dinastia Yuan?;1271
Quem fundou a dinastia Yuan?;Kublai Khan
Qual foi o papel de Kublai Khan na dinastia Yuan?;Imperador e fundador
Qual batalha marcou um evento significativo durante seu reinado?;Batalha do Lago Poyang
Quando terminou a dinastia Yuan e quem os derrubou?;1368, Ming dynasty
Qual script foi usado além do chinês?;Phags-pa
Qual era o nome oficial da dinastia Yuan?;Grande Yuan (Dà Yuán)
Em qual ano Kublai Khan morreu?;1294
Quais religiões eram praticadas durante a dinastia Yuan?;Budismo, Tengrismo mongol, Shamanismo, Taoísmo, Confucionismo, cristianismo nestoriano, judaísmo, maniqueísmo, islamismo
Por quantos anos durou a dinastia Yuan?;97 anos
