pergunta;resposta
Qual é o campo de estudo do paleontólogo Xiaoming Wang?;Geologia
Quem é considerado o pai da geologia estrutural?;"William Smith (embora seja mais conhecido como ""o pai da geologia"", muitos aspectos de sua contribuição se relacionam com a geologia estrutural)"
Qual é o campo de estudo do cientista Vladimir Belousov?;Geologia
Quem foi um dos primeiros pesquisadores na América do Norte que se dedicou à geologia?;William Maclure
Qual é o campo de estudo da cientista Ruth Blake?;Geologia
Quem foi um dos primeiros paleontólogos a trabalhar na América do Norte?;William Smith (embora seja mais conhecido como geólogo, ele também contribuiu para a paleontologia)
Qual é o campo de estudo da cientista Sonia Mary Cole?;Geologia
Quem foi um dos primeiros geólogos americanos a se destacar na paleontologia e minerais?;William Frederick Foshag
Qual é o campo de estudo do cientista Kenneth G. Miller?;Geologia
Quem foi um dos primeiros geólogos a estudar as rochas e estruturas da Terra na Escandinávia?;Wilhelm Hisinger
