Question,Answer,Q_yngve,Q_brunet,Q_ttr,Q_simple_word_ratio,A_yngve,A_brunet,A_ttr,A_simple_word_ratio
Qual é o foco principal da desigualdade econômica?,A distribuição de renda e riqueza,1.88889,4.37319,1.0,0.400,1.33333,3.79304,1.0,1.000
Quais são os tipos principais de medidas econômicas para a desigualdade?,Riqueza,1.91667,5.02467,1.0,0.167,0.0,1.0,1.0,0.000
Qual é o método mais utilizado para medir a desigualdade econômica?,Coeficiente de Gini,2.5,5.02467,1.0,0.429,0.66667,2.50045,1.0,0.000
Onde foi realizado um movimento em 1968 relacionado à desigualdade econômica?,Paquistão,2.25,5.02467,1.0,0.125,0.0,1.0,1.0,0.000
Quem escreveu sobre a desigualdade econômica em Capital no século XXI?,Thomas Piketty,2.33333,5.02467,1.0,0.167,0.5,1.85566,1.0,0.000
Qual é o livro que discute igualdade e desigualdade global?,Capitalismo: Crítica da Razão Econômica,1.72727,4.82961,1.0,0.333,1.5,3.43523,1.0,0.000
Qual é o índice estatístico que leva em conta a desigualdade na qualidade de vida?,Índice de Desenvolvimento Humano Ajustado pela Desigualdade,2.4375,5.65316,1.0,0.500,1.71429,4.10211,1.0,0.167
Quem é um economista conhecido por seu trabalho sobre desigualdade econômica?,Branko Milanović,2.0,5.02467,1.0,0.333,0.5,1.85566,1.0,0.000
Qual foi o efeito da globalização na desigualdade entre países?,Redução,2.90909,4.82961,1.0,0.200,0.0,1.0,1.0,0.000
Qual é a consequência de uma maior desigualdade para o crescimento econômico?,Dificulta sua duração,1.76923,5.20226,1.0,0.500,0.66667,2.50045,1.0,0.500
