pergunta;resposta
Qual é a extensão do Amazonas?;7,000,000 km2 (2,700,000 sq mi)
Quantos países o Amazonas abrange?;Nove nações
Quanto da floresta está dentro do Brasil?;60%
Qual é a proporção da biodiversidade do Amazonas no mundo?;Mais de metade
Quantas espécies de árvores existem na Amazônia?;16,000
Quantos povos indígenas vivem na Amazônia?;350 diferentes
Qual é a proporção dos indígenas na população total?;9%
Quantas territorias indígenas são oficialmente reconhecidas?;3,344
Quantos grupos indígenas permanecem principalmente isolados?;60
Qual é o nome do parque nacional francês na Amazônia?;Parque Nacional Guiana Amazoniano
