pergunta;resposta
Qual a capital da Polônia?;Varsóvia
O que é Varsóvia?;A capital da Polônia
Em qual país fica Varsóvia?;Na Polônia
Qual o nome da capital da Polônia em português?;Varsóvia
Varsóvia é a capital de que país?;Da Polônia
Qual o significado do nome Varsóvia?;A capital da Polônia
Quais são as características da cidade de Varsóvia?;A capital da Polônia
O que se sabe sobre a história de Varsóvia?;A capital da Polônia
Quais são os principais pontos de interesse em Varsóvia?;A capital da Polônia
Qual a população de Varsóvia?;A capital da Polônia
