pergunta;resposta
Geografia é a ciência que estudает a Terra e suas características físicas e químicas.;Sim
Uma rocha ígnea é uma rocha que cristaliza de magma e/ou lava.;Rocha ígnea
O que é frequentemente encontrado na crostra como impureza mineralica?;Calibro
Uma rocha sedimentar pode ser transformada num tipo de rocha metaformática por quais meios?;Tecton pressure
Quando a Terra forque, o que é formado naquele local?;Magma
Em qual localização da crostra é mais provável a expansão do fundo do mar?;Baía
A teoria tectônica de placas tectônicas afirma que os continentes se deslocam sobre a astenosfera. ;Correto
O que define a Astenofera?;O manto superior rígido da Terra
O que é a principal diferença entre a crostra e o astenofera?;A crostra é rígida, enquanto o astenofera é plástico
A Lei de Gutenberg afirma que a velocidade de propagação da onda S é de quanto?;Mils de anos
