Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Qual a tradição religiosa dos Huguenotes?,Calvinista,2.0,3.79304,1.0,0.333,0.0,1.0,1.0,0.000
Quem pode ter originado o termo Huguenote?,Bezanson Hugues,1.625,4.10211,1.0,0.400,0.5,1.85566,1.0,0.000
Em que século o termo Huguenote se popularizou?,Século XVI,2.0,4.37319,1.0,0.500,0.5,1.85566,1.0,0.000
Qual a diferença religiosa entre os Huguenotes e os da Alsácia?,Huguenotes eram Calvinistas,1.91667,5.1549,0.90909,0.250,0.66667,2.50045,1.0,0.000
Qual evento marcou um ponto crítico na perseguição aos Huguenotes?,Massacre de São Bartolomeu,2.72727,4.82961,1.0,0.667,0.75,3.01273,1.0,0.000
Quem liderou os Huguenotes durante as Guerras de Religião?,Jeanne d'Albret e Henry IV,1.7,4.61384,1.0,0.286,1.0,3.79304,1.0,0.200
O que concedeu o Edito de Nantes aos Huguenotes?,Autonomia religiosa,2.3,4.75438,0.88889,0.167,0.5,1.85566,1.0,0.000
Qual rei intensificou a perseguição aos protestantes na França?,Louis XIV,2.4,4.61384,1.0,0.400,0.5,1.85566,1.0,0.000
O que foram as dragonnades?,Perseguições para forçar a conversão ao catolicismo,1.5,3.43523,1.0,0.000,1.28571,4.10211,1.0,0.500
Qual edito marcou o fim oficial da perseguição aos protestantes?,Edito de Versalhes,2.18182,4.82961,1.0,0.667,0.66667,2.50045,1.0,0.333
