pergunta;resposta
Onde está localizado o Parlamento Escocês?;Edimburgo
Qual é outro nome informal para o Parlamento Escocês?;Holyrood
Quantos deputados compõem o Parlamento Escocês?;129
Como são chamados os membros do parlamento escocês em inglês?;MSPs
Quando ocorreu a última eleição para o Parlamento Escocês?;5 de Maio de 2016
Quantos MSPs representam distritos eleitorais geográficos?;73
Qual foi a data da primeira sessão do novo parlamento?;12 de maio de 1999
Quem é o atual presidente do Parlamento Escocês?;Alison Johnstone
Qual sistema de votação é usado para eleger os membros do parlamento escocês?;Additional member system
Quantas regiões distintas dividem-se proporcionalmente no Parlamento Escocês?;oito
