pergunta;resposta
Qual é a principal medida usada para calcular a desigualdade de renda?;Desigualdade de renda medida pela distribuição da renda.
Quais são os dois principais tipos de desigualdade econômica?;Desigualdade de renda (baseada na distribuição da renda) e desigualdade de riqueza (baseada na distribuição de ativos).
Quem é Branko Milanović, e qual sua área de especialização?;Branko Milanović é um economista focado em desigualdade econômica.
Qual a representação gráfica da curva de Kuznets relacionada à desigualdade econômica?;A curva de Kuznets, representada por imagem "Kuznets curve.png".
Quais são os dois principais indicadores de desigualdade econômica?;Desigualdade de renda (medida pelo coeficiente de Gini) e Inequality-Adjusted Human Development Index.
De acordo com pesquisas, quais são os impactos da desigualdade econômica?;Pesquisas indicam que a desigualdade econômica pode levar a instabilidade política e social, como revoluções, democracias em crise e conflitos civis.
Quais são as principais causas da desigualdade de renda dentro dos países?;As principais causas incluem crescimento da desigualdade de renda nos últimos 30 anos, com cerca de 90% dos países desenvolvidos registrando aumento na desigualdade.
Quanto é o equivalente em dólares dos "milionários de 10 milhões" em 2008?;Cerca de US $ 41 trilhões.
Qual porcentagem da riqueza global os 1% mais ricos teriam em 2016?;Metade.
Por que a desigualdade econômica tende a ser maior nos países desenvolvidos?;A tendência de acumular dívidas contribui para o aumento da desigualdade econômica em países desenvolvidos.
Qual a principal conclusão dos estudos sobre a relação entre desigualdade econômica e crescimento?;Estudos sugerem que a desigualdade de renda e riqueza prejudicam o crescimento e a estabilidade macroeconômica.
