pergunta;resposta
Qual foi o período de pico da Peste Negra na Europa?;entre os anos de 1347 e 1351
Qual bactéria é considerada a causa da Peste Negra?;Yersinia pestis
Qual o número estimado de mortes causadas pela Peste Negra na Eurásia?;75 a 200 milhões de pessoas
Além da bubônica, quais outras formas de peste foram causadas pela bactéria Yersinia pestis?;séptica e pneumónica
Qual o impacto estimado da Peste Negra na população mundial no século XIV?;redução de 475 milhões para 350–375 milhões
Qual o provável local de origem da Peste Negra?;Ásia Central ou Ásia Oriental
Como a Peste Negra se espalhou para a Crimeia?;pela Rota da Seda
Qual o principal vetor da Peste Negra?;pulgas que viviam em ratos
Quanto tempo demorou para a população da Europa se recuperar aos níveis pré-Peste Negra?;cerca de 200 anos
Em que século a população de Florença se recuperou dos efeitos da Peste Negra?;século XIX
