pergunta;resposta
Quem cunhou o termo "sistema imunitário"?;Ilya Mechnikov
Qual é o processo pelo qual o organismo desenvolve imunidade após a exposição a um agente patogênico?;Imunidade adquirida
Qual cientista está associado ao estudo do sistema imunitário no DBpedia?;Charles Surh
Quais células são consideradas parte do sistema imunitário?;Linfócitos, macrófages
Que doenças podem resultar de uma imunodeficiência?;Doenças autoimunes, inflamações, cancro
Nomeie um componente que ajuda a proteger contra infecções.;Enzimas, defensinas
Qual área da medicina estuda as doenças autoimunes?;Reumatologia
Quais mecanismos os vertebrados usam para reconhecer agentes patogénicos?;Imunidade adquirida
Qual é a consequência de um sistema imunitário hiperactivo?;Doença autoimune
Qual tipo de célula participa do mecanismo de defesa inata?;Células granulóides
