pergunta;resposta
Qual é o significado primário do termo "Império"?;Um território geográfico extenso, governado por um soberano ou oligarquia, com estrutura de poder e periferias subordinadas.
De qual termo latino o conceito de "Império" origina-se?;Do latim "imperium", que significa poder e autoridade.
Qual é a característica principal de um império, segundo o texto?;É uma unidade política composta por territórios e povos diversos, normalmente criada por conquista, com centro dominante e periferias subordinadas.
Qual é a expressão latina mais conhecida associada ao Império Romano?;Imperium Romanum.
Qual é a função do centro em uma estrutura imperial?;Exercer controle político sobre as periferias, também chamadas de metrópole.
Qual evento histórico está relacionado à motivação do imperialismo, conforme os fatos?;Crimes de guerra japoneses.
Qual livro é citado como tratando do imperialismo como assunto não ficcional?;Culture and Imperialism.
Qual organização é associada à ideologia do imperialismo, segundo os fatos?;Alliance for National Reconstruction.
Qual é o foco principal do estudo do imperialismo, conforme o texto?;Uma categoria de análise que abrange elementos com características comuns ou relacionadas.
Qual imagem representa a entrada das tropas russas em Tiflis, conforme os fatos?;Roubaud. Russian troops entering Tiflis in 1799.jpg.
