pergunta;resposta
1. Qual é a origem etimológica da palavra "vikingue"?;vem do nórdico antigo "vikingr", que se refere a expedições no mar.
2. De onde descendia a aristocracia normanda?;de viquingues da Escandinávia.
3. Qual é o significado da palavra "Northmen"?;"homens do Norte".
4. Que papel os normandos desempenharam na história medieval da Inglaterra?;eles realizaram a Conquista Normanda da Inglaterra.
5. Em que região da Europa os normandos se estabeleceram?;no norte da França (Normandia).
6. Qual foi uma importante contribuição cultural dos normandos?;a construção de castelos e estruturas em estilo normando.
7. A partir de que língua os normandos falavam?;Old Norse (antigo nórdico).
8. A que religião pertenciam os normandos originalmente?;ao pagã nórdica.
9. Quais são alguns dos eventos históricos em que os normandos participaram?;Cruzadas, Conquista Normanda da Inglaterra, estabelecimento de Estados na Sicília e Itália.
10. Qual é o termo usado para descrever os normandos em português?;normandos ou normanos.
pergunta;resposta
Qual é a origem etimológica da palavra "vikingue"?;vem do nórdico antigo "vikingr", que se refere a expedições no mar.
De onde descendia a aristocracia normanda?;de viquingues da Escandinávia.
Qual é o significado da palavra "Northmen"?;"homens do Norte".
Que papel os normandos desempenharam na história medieval da Inglaterra?;eles realizaram a Conquista Normanda da Inglaterra.
Em que região da Europa os normandos se estabeleceram?;no norte da França (Normandia).
Qual foi uma importante contribuição cultural dos normandos?;a construção de castelos e estruturas em estilo normando.
A partir de que língua os normandos falavam?;Old Norse (antigo nórdico).
A que religião pertenciam os normandos originalmente?;ao pagã nórdica.
Quais são alguns dos eventos históricos em que os normandos participaram?;Cruzadas, Conquista Normanda da Inglaterra, estabelecimento de Estados na Sicília e Itália.
Qual é o termo usado para descrever os normandos em português?;normandos ou normanos.
