pergunta;resposta
Qual é a massa atômica do oxigênio?;16 u
Qual cientista é prioritariamente creditado com a descoberta do oxigênio devido à primeira publicação de seus trabalhos?;Joseph Priestley
Qual propriedade do oxigênio permite que ele forme compostos com a maioria dos outros elementos?;É um forte agente oxidante
Qual a porcentagem aproximada de oxigênio na atmosfera terrestre?;20,8%
Qual é a importância da camada de ozônio na atmosfera?;Ajuda a proteger a biosfera da radiação ultravioleta
Qual a principal função do oxigênio na respiração celular?;É usado na respiração celular
Qual cientista cunhou o nome 'oxigênio'?;Antoine Lavoisier
Qual a principal característica do oxigênio em relação à sua solubilidade em água?;pouco solúvel
Qual a relação entre a energia solar e a produção de oxigênio?;A energia solar é utilizada por organismos para produzir oxigênio a partir da água.
Qual a importância do oxigênio para a composição da massa dos organismos vivos?;A maior parte da massa dos organismos vivos é composta por oxigênio como componente da água.
