pergunta;resposta
Qual é a definição de um número primo?;Um número inteiro primo é aquele que tem somente quatro divisores distintos, sendo eles o número um e ele mesmo.
Quem descobriu os primeiros pares de números primos gêmeos e quais são exemplos?;Os primeiros pares de números primos gêmeos foram descobertos por Edward Waring, exemplo inclui (3, 5) e (11, 13).
De que provou que há infinitos números primos?;O teorema de Euclides, apresentado há mais de 300 a.C., demonstra que há infinitos números primos.
Qual é o maior número primo conhecido da forma p# + 1?;O maior número primo conhecido da forma p# + 1 é 392113# + 1, com 169966 algarismos.
Qual exemplo de decomposição em fatores primos está listado no contexto?;Exemplos incluem 2#, que resulta em 2.
O que afirma o Teorema Fundamental da Aritmética?;Cada número natural diferente de 1 pode ser expressado de forma única como produto de números primos.
Qual é a lista mais recente de números primos p < 120000 tais que p# - 1 seja primo?;Inclui 3, 5, 11, 13, 41, 89, 317, 337, 991, 179 e 43.
Qual é a sequência completa de números primos menores que 1000?;É listada na OEIS com 168 números, incluídos 2, 3, 5, 7, 11 e outros primeiros números.
Qual é o resultado mais importante do estudo dos números primos?;A demonstração de que há infinitos números primos, afirmando a infinitude da sequência.
Por que 2 é considerado o único número primo par?;Todos os outros números primos são ímpares, enquanto 2 é a única exceção conhecida.
