```csv
subject,predicate,object
dbr:Robert_Lucas_Jr.,dbr:institution,dbr:University_of_Chicago
dbr:Robert_Lucas_Jr.,dbr:usnwrNu,6
dbr:Robert_Lucas_Jr.,dbr:usnwrW,15
dbr:University_of_Chicago,dbr:numberOfStudents,"18452"
dbr:University_of_Chicago,dbr:wikiPageUsesTemplate,dbr:Template:Bartable
dbr:İlber_Ortaylı,dbr:almaMater,dbr:University_of_Chicago
dbr:Vikram_Akula,dbr:almaMater,dbr:University_of_Chicago
dbr:W._G._Hardy,dbr:almaMater,dbr:University_of_Chicago
dbr:Walter_Licht,dbr:almaMater,dbr:University_of_Chicago
dbr:T._Russell_Shields,dbr:education,dbr:University_of_Chicago
dbr:Toshiko_Mayeda,dbr:almaMater,dbr:University_of_Chicago
dbr:Ted_Nelson,dbr:almaMater,dbr:University_of_Chicago
dbr:Suzanne_Berger,dbr:almaMater,dbr:University_of_Chicago
dbr:Seymour_Hess,dbr:almaMater,dbr:University_of_Chicago
dbr:Sol_Tax,dbr:almaMater,dbr:University_of_Chicago
dbr:Stanley_Reiter,dbr:almaMater,dbr:University_of_Chicago
dbr:Stephanie_Neely,dbr:almaMater,dbr:University_of_Chicago
dbr:William_P._Bidelman,dbr:almaMater,dbr:University_of_Chicago
dbr:Wendy_J._Schiller,dbr:education,dbr:University_of_Chicago
dbr:Wilton_Schiller,dbr:education,dbr:University_of_Chicago
dbr:Zev_Braun,dbr:education,dbr:University_of_Chicago
dbr:Robert_Weitbrecht,dbr:almaMater,dbr:University_of_Chicago
dbr:Robert_Dowdell__Robert_Dowdell__1,dbr:almaMater,dbr:University_of_Chicago
dbr:Robert_Geroch,dbr:institution,dbr:University_of_Chicago
dbr:Robert_Byerly,dbr:almaMater,dbr:University_of_Chicago
dbr:Roque_Fernández,dbr:almaMater,dbr:University_of_Chicago
dbr:Ronald_Freedman,dbr:almaMater,dbr:University_of_Chicago
dbr:Ronald_Inden,dbr:employer,dbr:University_of_Chicago
dbr:Sam_Kass,dbr:almaMater,dbr:University_of_Chicago
dbr:Scott_Allen_Schaefer,dbr:education,dbr:University_of_Chicago
dbr:Seymour_Berkson,dbr:education,dbr:University_of_Chicago
dbr:Patrick_Michaels,dbr:almaMater,dbr:University_of_Chicago
dbr:Patrick_Brosnan,dbr:almaMater,dbr:University_of_Chicago
dbr:Patrick_Larkin_(novelist),dbr:almaMater,dbr:University_of_Chicago
dbr:Paul_Ekman,dbr:almaMater,dbr:University_of_Chicago
dbr:Paul_Wiegmann,dbr:workInstitutions,dbr:University_of_Chicago
dbr:Peter_Salamon,dbr:almaMater,dbr:University_of_Chicago
dbr:Petra_Todd,dbr:almaMater,dbr:University_of_Chicago
dbr:Phi_Beta_Delta_(fraternity),dbr:school,dbr:University_of_Chicago
dbr:Philip_A._Kuhn,dbr:workplaces,dbr:University_of_Chicago
dbr:Renee_Marie_Bumb,dbr:education,dbr:University_of_Chicago
dbr:Rick_Perlstein,dbr:education,dbr:University_of_Chicago
dbr:Robert_Bork,dbr:education,dbr:University_of_Chicago
dbr:Oliver_McGee,dbr:almaMater,dbr:University_of_Chicago
dbr:Miguel_Kast,dbr:almaMater,dbr:University_of_Chicago
dbr:Mike_Nichols,dbr:almaMater,dbr:University_of_Chicago
dbr:Miriam_Zach,dbr:almaMater,dbr:University_of_Chicago
dbr:Neil_Ashcroft,dbr:institution,dbr:University_of_Chicago
dbr:Nicholas_Kiefer,dbr:institution,dbr:University_of_Chicago
dbr:Nilay_Patel,dbr:education,dbr:University_of_Chicago
dbr:Vardis_Fisher,dbr:almaMater,dbr:University_of_Chicago
dbr:Warder_Clyde_Allee,dbr:workInstitutions,dbr:University_of_Chicago
dbr:Thomas_Sowell,dbr:almaMater,dbr:University_of_Chicago
dbr:Suzanne_Berger,dbr:almaMater,dbr:University_of_Chicago
dbr:Wendy_J._Schiller,dbr:education,dbr:University_of_Chicago
dbr:Wilton_Schiller,dbr:education,dbr:University_of_Chicago
dbr:Zev_Braun,dbr:education,dbr:University_of_Chicago
dbr:İlber_Ortaylı,dbr:almaMater,dbr:University_of_Chicago
dbr:Vikram_Akula,dbr:almaMater,dbr:University_of_Chicago
dbr:W._G._Hardy,dbr:almaMater,dbr:University_of_Chicago
dbr:Walter_Licht,dbr:almaMater,dbr:University_of_Chicago
dbr:Robert_Lucas_Jr.,dbr:institution,dbr:University_of_Chicago
dbr:Robert_Lucas_Jr.,dbr:usnwrNu,6
dbr:Robert_Lucas_Jr.,dbr:usnwrW,15
dbr:University_of_Chicago,dbr:numberOfStudents,"18452"
dbr:University_of_Chicago,dbr:wikiPageUsesTemplate,dbr:Template:Bartable
```
