pergunta;resposta
qual é a área total da bacia amazônica?;7 milhões de quilômetros quadrados
quais países possuem territórios na Amazônia?;Brasil, Peru, Colômbia, Venezuela, Equador, Bolívia, Guiana, Suriname e França (Guiana Francesa)
qual país abrange a maior parte da floresta amazônica?;Brasil
qual porcentagem da terra do Brasil é ocupada pelo bioma Amazônia?;49,29%
como é chamado o parque nacional que faz parte do Patrimônio Mundial da UNESCO na bacia amazônica central?;Parque Nacional do Jaú
em qual ano a Amazônia foi pré-selecionada como candidata para uma das sete maravilhas naturais do mundo?;2008
qual é a principal causa de perda de floresta primária tropical nos países da Amazônia, conforme indicado em um gráfico do World Resources Institute?;Desmatamento
quais divisões regionais do Brasil abrangem o bioma amazônico?;Norte, Nordeste e Centro-Oeste
como é definida a "Amazônia Legal" no contexto brasileiro?;Por uma área delimitada pela Superintendência do Desenvolvimento da Amazônia (SUDAM), criada em 1966
qual evento climático foi registrado na Terra Indígena Porquinhos, Maranhão, em 2017?;Incêndios florestais
