Question,Answer,Q_brunet,Q_ttr,Q_yngve,Q_simple_word_ratio,A_brunet,A_ttr,A_yngve,A_simple_word_ratio
Qual é a capital da Polônia?,Warsaw  ,1.71429,3.79304,1.0,0.667,0.0,1.0,1.0,0.000
Qual é o rio que passa por Warsaw?,Vístula  ,1.66667,4.37319,1.0,0.250,0.0,1.0,1.0,0.000
Qual é a classificação de Warsaw na UE em termos de população?,6ª mais populosa  ,2.15385,5.32781,0.91667,0.333,0.66667,2.50045,1.0,0.333
Qual é o principal centro de comércio da Polônia?,Warsaw  ,1.8,4.61384,1.0,0.600,0.0,1.0,1.0,0.000
Qual é a maior área metropolitana da Polônia?,3,2.0,4.37319,1.0,0.400,0.0,1.0,1.0,0.000
Quem morreu em Warsaw?,Zbigniew Messner  ,1.4,3.01273,1.0,0.000,0.5,1.85566,1.0,0.000
Qual é a principal empresa de telecomunicações baseada em Warsaw?,TVN Style  ,1.81818,4.82961,1.0,0.333,0.5,1.85566,1.0,0.000
Qual é o maior centro de negócios da Europa Central e Oriental?,Warsaw  ,2.23077,5.20226,1.0,0.500,0.0,1.0,1.0,0.000
Qual é o recorde de temperatura alta em dezembro em Warsaw?,15,1.83333,5.1549,0.90909,0.500,0.0,1.0,1.0,0.000
Qual é a maior torre da União Europeia?,Varso Place,1.77778,4.37319,1.0,0.400,0.5,1.85566,1.0,0.000
