pergunta;resposta
De acordo com o texto, qual a capacidade da força na mecânica clássica?;Vencer a inércia de um corpo, modificando sua velocidade.
O que a força pode causar em um objeto flexível?;Deformação.
Quais são os dois elementos que compõem a força, sendo ela um vetor?;Magnitude e direção.
Qual o termo técnico utilizado para as influências que causam deformação da matéria em um corpo fixo?;Tensão mecânica ou estresse mecânico.
Como o estresse mecânico em um fluido se manifesta?;Mudanças em sua pressão e volume.
Qual o hiperônimo comum a todos os exemplos listados após a definição de força?;Force
Qual das seguintes opções é um exemplo de algo que possui 'Force' como hiperônimo?;Royal Irish Constabulary
Além de 'Force', qual outra unidade de medida é mencionada no contexto dos fatos?;Pound-force
Qual modelo de página wiki é utilizado por 'Force'?;Template:Wiktionary
Qual das opções abaixo é um exemplo de uma força militar ou policial?;Garda Síochána
